CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,Notes_list,Notes_list_string
F#,7,1;3;5;b7,"F#,A#,C#,E","['F#', 'A#', 'C#', 'E']","['F#', 'A#', 'C#', 'E']"
F#,dim7,1;b3;b5;bb7,"F#,A,C,Eb","['F#', 'A', 'C', 'Eb']","['F#', 'A', 'C', 'Eb']"
F#,+,1;3;#5,"F#,A#,C##","['F#', 'A#', 'C##']","['F#', 'A#', 'C##']"
F#,maj,1;3;5,"F#,A#,C#","['F#', 'A#', 'C#']","['F#', 'A#', 'C#']"
F#,sus2,1;2;5,"F#,G#,C#","['F#', 'G#', 'C#']","['F#', 'G#', 'C#']"
F#,add2,1;3;5;9,"F#,A#,C#,G#","['F#', 'A#', 'C#', 'G#']","['F#', 'A#', 'C#', 'G#']"
F#,m7b5,1;b3;b5;b7,"F#,A,C,E","['F#', 'A', 'C', 'E']","['F#', 'A', 'C', 'E']"
F#,m,1;b3;5,"F#,A,C#","['F#', 'A', 'C#']","['F#', 'A', 'C#']"
F#,m7,1;b3;5;b7,"F#,A,C#,E","['F#', 'A', 'C#', 'E']","['F#', 'A', 'C#', 'E']"
F#,mM7,1;b3;5;7,"F#,A,C#,E#","['F#', 'A', 'C#', 'E#']","['F#', 'A', 'C#', 'E#']"
F#,dim,1;b3;b5,"F#,A,C","['F#', 'A', 'C']","['F#', 'A', 'C']"
F#,6,1;3;5;6,"F#,A#,C#,D#","['F#', 'A#', 'C#', 'D#']","['F#', 'A#', 'C#', 'D#']"
F#,7sus4,1;4;5;b7,"F#,B,C#,E","['F#', 'B', 'C#', 'E']","['F#', 'B', 'C#', 'E']"
F#,maj7,1;3;5;7,"F#,A#,C#,E#","['F#', 'A#', 'C#', 'E#']","['F#', 'A#', 'C#', 'E#']"
F#,5,1;5,"F#,C#","['F#', 'C#']","['F#', 'C#']"
F#,m6,1;b3;5;6,"F#,A,C#,D#","['F#', 'A', 'C#', 'D#']","['F#', 'A', 'C#', 'D#']"
F#,sus4,1;4;5,"F#,B,C#","['F#', 'B', 'C#']","['F#', 'B', 'C#']"
G#,7,1;3;5;b7,"G#,B#,D#,F#","['G#', 'B#', 'D#', 'F#']","['G#', 'B#', 'D#', 'F#']"
G#,dim7,1;b3;b5;bb7,"G#,B,D,F","['G#', 'B', 'D', 'F']","['G#', 'B', 'D', 'F']"
G#,+,1;3;#5,"G#,B#,D##","['G#', 'B#', 'D##']","['G#', 'B#', 'D##']"
G#,maj,1;3;5,"G#,B#,D#","['G#', 'B#', 'D#']","['G#', 'B#', 'D#']"
G#,sus2,1;2;5,"G#,A#,D#","['G#', 'A#', 'D#']","['G#', 'A#', 'D#']"
G#,add2,1;3;5;9,"G#,B#,D#,A#","['G#', 'B#', 'D#', 'A#']","['G#', 'B#', 'D#', 'A#']"
